category,url,title,price,rooms,area,address,free_period,time_ago,collection_date
apartments,https://www.avito.ru/krasnodar/kvartiry/2-k._kvartira_51_m_35_et._7646083346,"2-к. квартира, 51 м², 3/5 эт.",1250,2,51,"Краснодарский край, г.о. Краснодар, пос. Берёзовый, ул. Археолога Веселовского, 3",Бесплатно на 1 неделю,6 октября 02:04,2025-12-14 15:08:25
apartments,https://www.avito.ru/murmansk/kvartiry/2-k._kvartira_480_m_15_et._839672233,"2-к. квартира, 480 м², 1/5 эт.",32000,2,480,"Мурманская обл., Мурманск, Инженерная ул., 12",Бесплатно более 2 месяцев,19 сентября 2016,2025-12-14 15:08:30
apartments,https://www.avito.ru/volgograd/kvartiry/2-k._kvartira_35_m_1619_et._7734826730,"2-к. квартира, 35 м², 16/19 эт.",33000,2,35,"Волгоградская обл., Волгоград, район Семь Ветров, б-р 30-летия Победы, 42",Бесплатно более 2 месяцев,2 октября 20:17,2025-12-14 15:08:34
apartments,https://www.avito.ru/bugry/kvartiry/kvartira-studiya_213_m_35_et._7790564090,"Квартира-студия, 21,3 м², 3/5 эт.",25000,студия,21.3,"Ленинградская обл., Всеволожский р-н, Бугровское сельское поселение, пос. Бугры, Новая ул., 7",Бесплатно на 2 месяца,7 дней назад,2025-12-14 15:08:40
apartments,https://www.avito.ru/gagarin/kvartiry/2-k._kvartira_48_m_15_et._7591527817,"2-к. квартира, 48 м², 1/5 эт.",38000,2,48,"Смоленская обл., Гагаринский муниципальный округ, Гагарин, ул. Строителей, 167А",Бесплатно более 2 месяцев,11 сентября 20:34,2025-12-14 15:08:45
apartments,https://www.avito.ru/surgut/kvartiry/2-k._kvartira_55_m_45_et._7464588561,"2-к. квартира, 55 м², 4/5 эт.",35000,2,55,"Тюменская обл., Ханты-Мансийский АО, Сургут, ул. Мелик-Карамова, 43",Бесплатно на 1 неделю,12 июля 18:39,2025-12-14 15:08:51
apartments,https://www.avito.ru/ishimbay/kvartiry/1-k._kvartira_32_m_23_et._7610303394,"1-к. квартира, 32 м², 2/3 эт.",26000,1,32,"Республика Башкортостан, Ишимбайский р-н, городское поселение Ишимбай, Ишимбай, ул. Гагарина, 76",Бесплатно на 1 месяц,9 сентября 23:38,2025-12-14 15:08:57
apartments,https://www.avito.ru/sochi/kvartiry/1-k._kvartira_55_m_66_et._7285065327,"1-к. квартира, 55 м², 6/6 эт.",24700,1,55,"Краснодарский край, Сочи, мкр-н Головинка, Мостовая ул., 16к1",Бесплатно на 1 неделю,6 апреля 18:16,2025-12-14 15:09:02
apartments,https://www.avito.ru/roslavl/kvartiry/2-k._kvartira_42_m_25_et._7546069038,"2-к. квартира, 42 м², 2/5 эт.",5000,2,42,"Смоленская обл., Рославльский муниципальный округ, Рославль, ул. Пушкина, 64",Бесплатно на 1 неделю,3 августа 12:27,2025-12-14 15:09:08
apartments,https://www.avito.ru/nizhnekamsk/kvartiry/5-k._kvartira_95_m_15_et._4378038574,"5-к. квартира, 95 м², 1/5 эт.",90000,5,95,"Республика Татарстан, Нижнекамский р-н, муниципальное образование Нижнекамск, Нижнекамск, ул. Юности, 9",Бесплатно на 2 недели,25 августа 2024,2025-12-14 15:09:13
apartments,https://www.avito.ru/slantsy/kvartiry/2-k._kvartira_80_m_19_et._7862637113,"2-к. квартира, 80 м², 1/9 эт.",15000,2,80,"Ленинградская обл., Сланцевский р-н, Сланцевское городское поселение, Сланцы, Молодёжный пр-т, 13",Бесплатно на 1 неделю,7 дней назад,2025-12-14 15:09:19
apartments,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_323_m_824_et._7522369873,"1-к. квартира, 32,3 м², 8/24 эт.",38000,1,32.3,"Санкт-Петербург, Парашютная ул., 65",Бесплатно на 1 неделю,16 июля 12:38,2025-12-14 15:09:24
apartments,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_45_m_425_et._7749143981,"1-к. квартира, 45 м², 4/25 эт.",32000,1,45,"Воронежская обл., Воронеж, Краснознамённая ул., 57/5",Бесплатно на 1 неделю,2 октября 19:45,2025-12-14 15:09:29
apartments,https://www.avito.ru/chelyabinsk/kvartiry/3-k._kvartira_629_m_49_et._7365380371,"3-к. квартира, 62,9 м², 4/9 эт.",38000,3,62.9,"Челябинская обл., Челябинск, ул. Богдана Хмельницкого, 30",Бесплатно на 1 неделю,10 мая 17:41,2025-12-14 15:09:35
apartments,https://www.avito.ru/pitkyaranta/kvartiry/1-k._kvartira_302_m_55_et._7751073249,"1-к. квартира, 30,2 м², 5/5 эт.",8000,1,30.2,"Республика Карелия, Питкярантский муниципальный округ, Питкяранта, Парковая ул., 6",Бесплатно на 2 месяца,1 неделю назад,2025-12-14 15:09:41
apartments,https://www.avito.ru/tyumen/kvartiry/kvartira-studiya_15_m_78_et._4841458117,"Квартира-студия, 15 м², 7/8 эт.",13000,студия,15,"Тюменская обл., Тюмень, Олимпийская ул., 20",Бесплатно более 2 месяцев,23 января 12:30,2025-12-14 15:09:47
apartments,https://www.avito.ru/samara/kvartiry/2-k._kvartira_48_m_89_et._7609599675,"2-к. квартира, 48 м², 8/9 эт.",30000,2,48,"Самарская обл., Самара, ул. Осипенко, 24",Бесплатно на 1 месяц,30 августа 09:08,2025-12-14 15:09:52
apartments,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_33_m_116_et._7596599787,"1-к. квартира, 33 м², 1/16 эт.",25000,1,33,"Санкт-Петербург, ул. Композиторов, 12",Бесплатно на 1 неделю,10 сентября 10:47,2025-12-14 15:09:57
apartments,https://www.avito.ru/krasnodar/kvartiry/2-k._kvartira_75_m_25_et._7560762369,"2-к. квартира, 75 м², 2/5 эт.",30000,2,75,"Краснодарский край, Краснодар, ул. Лотышева, 11",Бесплатно на 1 неделю,19 августа 12:18,2025-12-14 15:10:03
apartments,https://www.avito.ru/samara/kvartiry/1-k._kvartira_43_m_110_et._2406871574,"1-к. квартира, 43 м², 1/10 эт.",35000,1,43,"Самарская обл., Самара, Корабельная ул., 12",Бесплатно на 1 месяц,20 мая 2022,2025-12-14 15:10:08
apartments,https://www.avito.ru/markova/kvartiry/2-k._kvartira_40_m_56_et._4396121150,"2-к. квартира, 40 м², 5/6 эт.",31000,2,40,"Иркутская обл., Иркутский р-н, Марковское муниципальное образование, рп. Маркова, жилой комплекс Весна, 1",Бесплатно на 1 неделю,11 июля 2024,2025-12-14 15:10:14
apartments,https://www.avito.ru/purpe/kvartiry/2-k._kvartira_567_m_25_et._7802441654,"2-к. квартира, 56,7 м², 2/5 эт.",40000,2,56.7,"Тюменская обл., Ямало-Ненецкий АО, Губкинский, Железнодорожная ул., 3А",Бесплатно на 1 месяц,7 дней назад,2025-12-14 15:10:20
apartments,https://www.avito.ru/tomsk/kvartiry/kvartira-studiya_17_m_12_et._4614093089,"Квартира-студия, 17 м², 1/2 эт.",7000,студия,17,"Томская обл., Томск, посёлок Восточный, Черноморская ул., 22",Бесплатно более 2 месяцев,16 ноября 2024,2025-12-14 15:10:26
apartments,https://www.avito.ru/syktyvkar/kvartiry/1-k._kvartira_383_m_112_et._7684661051,"1-к. квартира, 38,3 м², 1/12 эт.",10000,1,38.3,"Республика Коми, Сыктывкар, Весенняя ул., 11",Бесплатно более 2 месяцев,15 октября 12:58,2025-12-14 15:10:31
apartments,https://www.avito.ru/torzhok/kvartiry/2-k._kvartira_55_m_33_et._2530291805,"2-к. квартира, 55 м², 3/3 эт.",29000,2,55,"Тверская обл., Торжок, ул. Белинского, 5",Бесплатно на 2 недели,27 июля 2022,2025-12-14 15:10:36
apartments,https://www.avito.ru/yanaul/kvartiry/1-k._kvartira_344_m_66_et._4503411792,"1-к. квартира, 34,4 м², 6/6 эт.",20000,1,34.4,"Республика Башкортостан, Янаульский р-н, Янаул, Станционная ул., 20А",Бесплатно более 2 месяцев,13 января 21:47,2025-12-14 15:10:41
apartments,https://www.avito.ru/rubtsovsk/kvartiry/3-k._kvartira_66_m_12_et._7797226572,"3-к. квартира, 66 м², 1/2 эт.",15000,3,66,"Алтайский край, Рубцовск, Путевая ул., 35",Бесплатно на 1 неделю,2 недели назад,2025-12-14 15:10:46
apartments,https://www.avito.ru/balashiha/kvartiry/1-k._kvartira_45_m_1122_et._7782921229,"1-к. квартира, 45 м², 11/22 эт.",45000,1,45,"Московская обл., Балашиха, мкр-н Новое Павлино, Косинское ш., 2",Бесплатно на 1 неделю,1 неделю назад,2025-12-14 15:10:52
apartments,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/2-k._apartamenty_65_m_33_et._2133280952,"2-к. апартаменты, 65 м², 3/3 эт.",45000,2,65,"Московская обл., г.о. Красногорск, пгт. Нахабино, Дорожная ул., 5",Бесплатно на 1 неделю,1 мая 2021,2025-12-14 15:10:57
apartments,https://www.avito.ru/chelyabinsk/kvartiry/2-k._kvartira_503_m_99_et._7800789366,"2-к. квартира, 50,3 м², 9/9 эт.",21000,2,50.3,"Челябинская обл., Челябинский г.о., Челябинск, пр-т Победы, 111",Бесплатно на 2 месяца,1 неделю назад,2025-12-14 15:11:02
apartments,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/2-k._apartamenty_65_m_33_et._2133280952,"2-к. апартаменты, 65 м², 3/3 эт.",45000,2,65,"Московская обл., г.о. Красногорск, пгт. Нахабино, Дорожная ул., 5",Бесплатно на 1 неделю,1 мая 2021,2025-12-14 15:11:26
apartments,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_44_m_22_et._7692326154,"2-к. квартира, 44 м², 2/2 эт.",45000,2,44,"Свердловская обл., Екатеринбург, ул. Корепина, 27А",Бесплатно более 2 месяцев,27 октября 19:10,2025-12-14 15:11:31
apartments,https://www.avito.ru/tyumen/kvartiry/kvartira-studiya_15_m_78_et._4841458117,"Квартира-студия, 15 м², 7/8 эт.",13000,студия,15,"Тюменская обл., Тюмень, Олимпийская ул., 20",Бесплатно более 2 месяцев,23 января 12:30,2025-12-14 15:11:36
apartments,https://www.avito.ru/tomsk/kvartiry/kvartira-studiya_17_m_12_et._4614093089,"Квартира-студия, 17 м², 1/2 эт.",7000,студия,17,"Томская обл., Томск, посёлок Восточный, Черноморская ул., 22",Бесплатно более 2 месяцев,16 ноября 2024,2025-12-14 15:11:42
apartments,https://www.avito.ru/torzhok/kvartiry/2-k._kvartira_55_m_33_et._2530291805,"2-к. квартира, 55 м², 3/3 эт.",29000,2,55,"Тверская обл., Торжок, ул. Белинского, 5",Бесплатно на 2 недели,27 июля 2022,2025-12-14 15:11:47
apartments,https://www.avito.ru/krasnodar/kvartiry/2-k._kvartira_75_m_25_et._7560762369,"2-к. квартира, 75 м², 2/5 эт.",30000,2,75,"Краснодарский край, Краснодар, ул. Лотышева, 11",Бесплатно на 1 неделю,19 августа 12:18,2025-12-14 15:11:53
apartments,https://www.avito.ru/chelyabinsk/kvartiry/2-k._kvartira_503_m_99_et._7800789366,"2-к. квартира, 50,3 м², 9/9 эт.",21000,2,50.3,"Челябинская обл., Челябинский г.о., Челябинск, пр-т Победы, 111",Бесплатно на 2 месяца,1 неделю назад,2025-12-14 15:11:59
apartments,https://www.avito.ru/novorossiysk/kvartiry/2-k._kvartira_45_m_35_et._4298255753,"2-к. квартира, 45 м², 3/5 эт.",38000,2,45,"Краснодарский край, Новороссийск, наб. Адмирала Серебрякова, 39",Бесплатно более 2 месяцев,26 июня 2024,2025-12-14 15:12:04
apartments,https://www.avito.ru/ulan-ude/kvartiry/kvartira-studiya_41_m_113_et._4405798772,"Квартира-студия, 41 м², 1/13 эт.",38000,студия,41,"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 14",Бесплатно более 2 месяцев,14 декабря 2024,2025-12-14 15:12:09
